Participant.ID,PRE.POST,Trial_type,LR_recipmodel,inv_recipmodel,Excl10_LR,Excl10_Inv,Optimal.choice,Response.time,Optimal.choice.perc,response.time.corr
P033,NA,Loss,0.029070847,2.098114848,2.139301634,0.024987646,56,684.1166667,93.33333333,696.3214286
P034,NA,Loss,0.486599275,-0.906115683,-1.010462357,0.325949359,14,1495.807692,53.84615385,1428.5
P035,NA,Loss,0.033907441,2.019699162,1.920451759,0.039120112,58,711.4920635,92.06349206,682.4655172
P036,NA,Loss,0.032500391,1.877407826,1.94619107,0.024755368,52,1018.092593,96.2962963,996.1923077
P037,NA,Loss,0.03775553,2.295083489,1.960764768,0.695077993,59,690.1333333,98.33333333,692.4576271
P038,NA,Loss,0.302788254,-0.145204319,0.011094569,0.138228458,23,1342.48,92,1326.173913
P039,NA,Loss,0.468175869,0.229962651,0.40427265,0.746103362,15,1135.176471,88.23529412,1069.133333
P040,NA,Loss,0.280683645,-0.196802107,-0.322039172,0.17876743,24,1063.212121,72.72727273,1116.125
P041,NA,Loss,0.330999532,-1.633643891,-1.663869099,0.201704311,17,1175.315789,44.73684211,1262.588235
P042,NA,Loss,0.033215077,2.88279592,3.705476986,0.544703784,63,623.0793651,100,623.0793651
P043,NA,Loss,0.02784565,2.884145088,3.700617655,0.543210196,62,772.0967742,100,772.0967742
P044,NA,Loss,0.124977188,0.848719492,1.107457207,0.042935495,47,929,88.67924528,894.6808511
P045,NA,Loss,0.087736096,1.771165353,1.800147436,0.114995856,59,650.0819672,96.72131148,648.0508475
P046,NA,Loss,0.021874738,2.599281843,3.682388319,0.535517711,61,693.3442623,100,693.3442623
P047,NA,Loss,0.03854905,1.614130219,1.668807614,0.033463867,54,758.3442623,88.52459016,751.2962963
P048,NA,Loss,0.07881175,1.452948251,1.636869759,0.053204727,49,965.1481481,90.74074074,1000.183673
P049,NA,Loss,0.025815855,2.539659713,3.680357774,0.537498277,61,855.4193548,98.38709677,838
P050,NA,Loss,0.515404959,-0.781270376,-0.623460947,0.437588052,25,1017.692308,64.1025641,1028.28
P051,NA,Loss,0.77880194,-0.29612567,-0.544405196,0.324782716,30,1330.604651,69.76744186,1320.666667
P052,NA,Loss,0.8899434,-0.624539648,-1.09364303,0.667556586,30,1463.354167,62.5,1458.1
P054,NA,Loss,0.490283334,0.479321454,0.685392441,0.188571958,35,1378.214286,83.33333333,1349.885714
P055,NA,Loss,0.769415472,0.583241567,0.894259968,0.707861041,45,849.5531915,95.74468085,826.9777778
P056,NA,Loss,0.039577745,1.812663966,1.708834047,0.053652066,58,947.2741935,93.5483871,942.2241379
P057,NA,Loss,0.040091875,1.399497523,1.398243739,0.046788003,46,942.1176471,90.19607843,925.9565217
P058,NA,Loss,0.127533265,0.592241766,0.522494012,0.278097466,43,1046.018519,79.62962963,1020.581395
P059,NA,Loss,0.290475716,-1.728974358,-1.731103599,0.254166605,24,1078.283333,40,1122.291667
