"","rt","response","subj_idx","condition","correct","stim","Allocation"
"204",0.26210981188342,"1","P002","1-back",1,"1","PLACEBO"
"205",0.451138078478834,"0","P002","1-back",1,"0","PLACEBO"
"206",0.380163993774659,"0","P002","2-back",1,"0","PLACEBO"
"207",0.762316017073317,"0","P002","2-back",1,"0","PLACEBO"
"208",0.731436245585428,"0","P002","2-back",1,"0","PLACEBO"
"209",1.07199298093701,"0","P002","2-back",1,"0","PLACEBO"
"210",0.707331387602608,"0","P002","2-back",1,"0","PLACEBO"
"211",0.647620522734996,"1","P002","2-back",0,"0","PLACEBO"
"212",1.01565355537559,"1","P002","2-back",1,"1","PLACEBO"
"213",1.01790657256515,"1","P002","2-back",1,"1","PLACEBO"
"214",0.431017988059466,"0","P002","2-back",1,"0","PLACEBO"
"215",0.760984236344029,"0","P002","2-back",1,"0","PLACEBO"
"216",0.420103730852134,"0","P002","0-back",1,"0","PLACEBO"
"217",0.392800359786179,"1","P002","0-back",1,"1","PLACEBO"
"218",0.303167660059444,"0","P002","0-back",1,"0","PLACEBO"
"219",0.344948003946229,"0","P002","0-back",1,"0","PLACEBO"
"220",0.287575375305551,"0","P002","0-back",1,"0","PLACEBO"
"221",0.32293101238929,"0","P002","0-back",1,"0","PLACEBO"
"222",0.297129860128734,"0","P002","0-back",1,"0","PLACEBO"
"223",0.300056232124007,"0","P002","0-back",1,"0","PLACEBO"
"224",0.323279664000438,"0","P002","0-back",1,"0","PLACEBO"
"225",0.257693972836933,"1","P002","0-back",1,"1","PLACEBO"
"226",NA,NA,"P002","2-back",0,"0","PLACEBO"
"227",0.856054159497489,"0","P002","2-back",1,"0","PLACEBO"
"228",1.12939764447128,"0","P002","2-back",1,"0","PLACEBO"
"229",0.736896173354125,"1","P002","2-back",1,"1","PLACEBO"
"230",0.674594214311583,"0","P002","2-back",1,"0","PLACEBO"
"231",0.648478622462335,"0","P002","2-back",1,"0","PLACEBO"
"232",0.873137777412921,"0","P002","2-back",1,"0","PLACEBO"
"233",0.887862320868862,"0","P002","2-back",1,"0","PLACEBO"
"234",0.782126333180258,"1","P002","2-back",0,"0","PLACEBO"
"235",0.784421337852109,"1","P002","2-back",1,"1","PLACEBO"
"236",0.662178671354013,"0","P002","3-back",1,"0","PLACEBO"
"237",0.691150656062291,"0","P002","3-back",1,"0","PLACEBO"
"238",1.15866012035167,"0","P002","3-back",1,"0","PLACEBO"
"239",0.612716173329318,"1","P002","3-back",1,"1","PLACEBO"
"240",NA,NA,"P002","3-back",0,"0","PLACEBO"
"241",0.239259913088972,"0","P002","3-back",1,"0","PLACEBO"
"242",0.83958418085831,"0","P002","2-back",1,"0","PLACEBO"
"243",1.1815202827529,"0","P002","2-back",1,"0","PLACEBO"
"244",1.06329068649211,"0","P002","2-back",1,"0","PLACEBO"
"245",1.06472883550987,"1","P002","2-back",1,"1","PLACEBO"
"246",0.96798407834649,"0","P002","2-back",0,"1","PLACEBO"
"247",0.882010509933025,"0","P002","3-back",1,"0","PLACEBO"
"248",0.690342319276624,"0","P002","3-back",1,"0","PLACEBO"
"249",0.842996674591632,"0","P002","3-back",1,"0","PLACEBO"
"250",0.804306920407726,"0","P002","3-back",1,"0","PLACEBO"
"251",1.05953669457131,"0","P002","3-back",1,"0","PLACEBO"
"252",0.794848851284769,"0","P002","3-back",1,"0","PLACEBO"
"253",1.41345384673741,"0","P002","3-back",1,"0","PLACEBO"
"254",1.30018841493802,"1","P002","3-back",1,"1","PLACEBO"
"255",1.33204509517782,"0","P002","3-back",1,"0","PLACEBO"
"256",1.0909172056613,"0","P002","3-back",0,"1","PLACEBO"
"257",0.299056930049574,"1","P002","0-back",1,"1","PLACEBO"
"258",0.33745028371095,"0","P002","0-back",1,"0","PLACEBO"
"259",0.261258865579293,"0","P002","0-back",1,"0","PLACEBO"
"260",0.284836236378851,"0","P002","0-back",1,"0","PLACEBO"
"261",0.327602508550171,"0","P002","0-back",1,"0","PLACEBO"
"262",0.270285863219215,"0","P002","0-back",1,"0","PLACEBO"
"263",0.327991592550916,"0","P002","0-back",1,"0","PLACEBO"
"264",0.294982900209106,"1","P002","0-back",1,"1","PLACEBO"
"265",0.418856858142135,"1","P002","0-back",1,"1","PLACEBO"
"266",0.322142580781019,"0","P002","0-back",1,"0","PLACEBO"
"267",0.763984008678563,"0","P002","1-back",1,"0","PLACEBO"
"268",0.547188020567319,"0","P002","1-back",1,"0","PLACEBO"
"269",0.388369902875183,"0","P002","1-back",1,"0","PLACEBO"
"270",0.368736245211949,"0","P002","1-back",1,"0","PLACEBO"
"271",0.353541752974252,"0","P002","1-back",1,"0","PLACEBO"
"272",0.273475667787352,"1","P002","1-back",1,"1","PLACEBO"
"273",0.414267781854051,"1","P002","1-back",1,"1","PLACEBO"
"274",0.325013280485109,"0","P002","1-back",1,"0","PLACEBO"
"275",0.40976361358571,"0","P002","1-back",1,"0","PLACEBO"
"276",0.5064859774252,"1","P002","1-back",1,"1","PLACEBO"
"277",0.297699334793833,"0","P002","3-back",1,"0","PLACEBO"
"278",0.772213244158138,"0","P002","3-back",1,"0","PLACEBO"
"279",0.435332435112286,"0","P002","3-back",1,"0","PLACEBO"
"280",0.3804096982999,"1","P002","3-back",1,"1","PLACEBO"
"281",0.580485960007991,"0","P002","3-back",1,"0","PLACEBO"
"282",1.2291235128655,"0","P002","3-back",1,"0","PLACEBO"
"283",0.746499488063819,"1","P002","3-back",1,"1","PLACEBO"
"284",1.0237885522838,"1","P002","3-back",1,"1","PLACEBO"
"285",1.94010128002719,"1","P002","3-back",0,"0","PLACEBO"
"286",1.23228688087102,"0","P002","3-back",1,"0","PLACEBO"
"287",1.41860928750657,"1","P002","3-back",1,"1","PLACEBO"
"288",0.336339637054152,"0","P002","1-back",1,"0","PLACEBO"
"289",0.330415669852755,"1","P002","1-back",1,"1","PLACEBO"
"290",0.395905256335482,"0","P002","1-back",1,"0","PLACEBO"
"291",0.622094310727334,"0","P002","1-back",1,"0","PLACEBO"
"292",0.516752072315739,"0","P002","1-back",1,"0","PLACEBO"
"293",0.496001236609118,"0","P002","1-back",1,"0","PLACEBO"
"294",0.385957644271912,"0","P002","1-back",1,"0","PLACEBO"
"295",0.715689073675094,"1","P002","1-back",1,"1","PLACEBO"
"296",0.407132709056896,"0","P002","1-back",1,"0","PLACEBO"
"297",0.341253105518717,"1","P002","1-back",1,"1","PLACEBO"
"298",0.354034717116065,"0","P002","0-back",1,"0","PLACEBO"
"299",0.521458713553329,"0","P002","0-back",1,"0","PLACEBO"
"300",0.312156091419638,"0","P002","0-back",1,"0","PLACEBO"
"301",0.380710453079246,"0","P002","0-back",1,"0","PLACEBO"
"302",0.316676121625278,"0","P002","0-back",1,"0","PLACEBO"
"303",1.24443370394283,"0","P002","3-back",0,"1","PLACEBO"
"304",0.690034411074066,"0","P002","3-back",1,"0","PLACEBO"
"305",1.2284719293466,"0","P002","2-back",1,"0","PLACEBO"
"306",1.25229065041412,"0","P002","2-back",1,"0","PLACEBO"
"307",0.276337347958361,"0","P002","0-back",1,"0","PLACEBO"
"308",1.13227052130424,"0","P002","3-back",1,"0","PLACEBO"
"309",0.585800020153783,"0","P002","3-back",1,"0","PLACEBO"
"310",0.732796951024284,"0","P002","3-back",1,"0","PLACEBO"
"311",0.457589532862585,"1","P002","3-back",0,"0","PLACEBO"
"312",1.09390733642613,"1","P002","3-back",1,"1","PLACEBO"
"313",1.14883038425705,"0","P002","3-back",1,"0","PLACEBO"
"314",1.29089611861491,"1","P002","3-back",1,"1","PLACEBO"
"315",0.703085364594244,"0","P002","3-back",1,"0","PLACEBO"
"316",0.369649395193392,"1","P002","2-back",1,"1","PLACEBO"
"317",0.458098047924068,"0","P002","2-back",1,"0","PLACEBO"
"318",0.642659157438629,"0","P002","2-back",1,"0","PLACEBO"
"319",0.718491038316188,"0","P002","3-back",1,"0","PLACEBO"
"320",0.754675850417243,"0","P002","3-back",1,"0","PLACEBO"
"321",0.378325438156025,"0","P003","0-back",1,"0","ACTIVE"
"322",0.47389241219571,"0","P003","0-back",1,"0","ACTIVE"
"323",0.352049745382828,"0","P003","3-back",1,"0","ACTIVE"
"324",0.664089575533581,"1","P003","2-back",1,"1","ACTIVE"
"325",0.601622640584537,"0","P003","3-back",1,"0","ACTIVE"
"326",0.708805185782694,"0","P003","3-back",1,"0","ACTIVE"
"327",1.05930824106326,"0","P003","2-back",0,"1","ACTIVE"
"328",0.552498046032269,"0","P003","3-back",1,"0","ACTIVE"
"329",0.657452461753564,"0","P003","3-back",1,"0","ACTIVE"
"330",0.63192072288075,"0","P003","3-back",1,"0","ACTIVE"
"331",0.550571914558532,"0","P003","3-back",1,"0","ACTIVE"
"332",0.929564796300838,"1","P003","3-back",1,"1","ACTIVE"
"333",0.773262010796316,"1","P003","3-back",0,"0","ACTIVE"
"334",1.49991213755493,"0","P003","3-back",0,"1","ACTIVE"
"335",0.419467768166214,"1","P003","0-back",1,"1","ACTIVE"
"336",0.416458051666268,"0","P003","0-back",1,"0","ACTIVE"
"337",0.453695556774619,"0","P003","0-back",1,"0","ACTIVE"
"338",0.40453488419007,"0","P003","0-back",1,"0","ACTIVE"
"339",0.371734043947072,"0","P003","0-back",1,"0","ACTIVE"
"340",0.370194507242559,"0","P003","0-back",1,"0","ACTIVE"
"341",0.354631812802836,"0","P003","0-back",1,"0","ACTIVE"
"342",0.48695141564167,"1","P003","0-back",1,"1","ACTIVE"
"343",0.325410473142256,"0","P003","0-back",1,"0","ACTIVE"
"344",0.567157234592742,"1","P003","0-back",1,"1","ACTIVE"
"345",0.631429937238863,"0","P003","2-back",1,"0","ACTIVE"
"346",0.65535806979824,"0","P003","2-back",1,"0","ACTIVE"
"347",0.33986905540587,"0","P003","3-back",1,"0","ACTIVE"
"348",0.349403919382894,"0","P003","3-back",1,"0","ACTIVE"
"349",0.535978972726298,"1","P003","3-back",1,"1","ACTIVE"
"350",0.647922263040527,"0","P003","3-back",1,"0","ACTIVE"
"351",0.479958186806471,"1","P003","3-back",1,"1","ACTIVE"
"352",0.544070093394112,"0","P003","3-back",1,"0","ACTIVE"
"353",0.763016160781262,"1","P003","3-back",1,"1","ACTIVE"
"354",1.38530404917037,"0","P003","3-back",1,"0","ACTIVE"
"355",0.666032812969206,"0","P003","2-back",1,"0","ACTIVE"
"356",0.691492395777459,"0","P003","2-back",1,"0","ACTIVE"
"357",0.446728453407559,"1","P003","2-back",1,"1","ACTIVE"
"358",0.396951966144115,"0","P003","2-back",1,"0","ACTIVE"
"359",0.482243854527042,"0","P003","2-back",1,"0","ACTIVE"
"360",0.505571101250098,"0","P003","2-back",1,"0","ACTIVE"
"361",0.581242595839285,"1","P003","2-back",0,"0","ACTIVE"
"362",0.873847874489002,"0","P003","2-back",1,"0","ACTIVE"
"363",0.550630385852855,"0","P003","3-back",1,"0","ACTIVE"
"364",0.494837886784808,"0","P003","3-back",1,"0","ACTIVE"
"365",0.612146229239443,"1","P003","3-back",1,"1","ACTIVE"
"366",0.577243843643373,"0","P003","3-back",1,"0","ACTIVE"
"367",0.651526334011578,"0","P003","3-back",1,"0","ACTIVE"
"368",0.438907606960129,"0","P003","1-back",1,"0","ACTIVE"
"369",0.354496520179964,"0","P003","1-back",1,"0","ACTIVE"
"370",0.403559844282427,"0","P003","1-back",1,"0","ACTIVE"
"371",0.425394828958815,"0","P003","1-back",1,"0","ACTIVE"
"372",0.362662285049737,"0","P003","1-back",1,"0","ACTIVE"
"373",0.536701777433336,"1","P003","1-back",1,"1","ACTIVE"
"374",0.40854669912369,"0","P003","1-back",1,"0","ACTIVE"
"375",0.342518302604731,"1","P003","1-back",1,"1","ACTIVE"
"376",0.410725998855924,"0","P003","0-back",1,"0","ACTIVE"
"377",0.357205793759931,"0","P003","0-back",1,"0","ACTIVE"
"378",0.331939352829068,"0","P003","0-back",1,"0","ACTIVE"
"379",0.359066922574129,"0","P003","0-back",1,"0","ACTIVE"
"380",0.396571280703938,"0","P003","0-back",1,"0","ACTIVE"
"381",0.332855610431579,"0","P003","0-back",1,"0","ACTIVE"
"382",0.371806822044164,"1","P003","0-back",1,"1","ACTIVE"
"383",0.398493368949858,"1","P003","0-back",1,"1","ACTIVE"
"384",0.325421358753374,"0","P003","0-back",1,"0","ACTIVE"
"385",0.496551282278233,"1","P003","0-back",1,"1","ACTIVE"
"386",0.481211587390135,"0","P003","1-back",1,"0","ACTIVE"
"387",0.422102086526138,"0","P003","1-back",1,"0","ACTIVE"
"388",0.59936403138272,"0","P003","2-back",1,"0","ACTIVE"
"389",0.575461091240868,"0","P003","2-back",1,"0","ACTIVE"
"390",0.524625900357933,"0","P003","2-back",1,"0","ACTIVE"
"391",0.729245256905415,"1","P003","2-back",1,"1","ACTIVE"
"392",0.375475273642223,"1","P003","2-back",1,"1","ACTIVE"
"393",0.428538905023743,"0","P003","2-back",1,"0","ACTIVE"
"394",0.788041874155169,"0","P003","2-back",1,"0","ACTIVE"
"395",0.47929478644437,"1","P003","2-back",1,"1","ACTIVE"
"396",0.634958119935618,"0","P003","1-back",1,"0","ACTIVE"
"397",0.392702844848827,"1","P003","1-back",1,"1","ACTIVE"
"398",0.36056727106552,"0","P003","1-back",1,"0","ACTIVE"
"399",0.430205647891853,"0","P003","1-back",1,"0","ACTIVE"
"400",0.412877929047681,"0","P003","1-back",1,"0","ACTIVE"
"401",0.588823958798457,"0","P003","1-back",1,"0","ACTIVE"
"402",0.563857960787573,"0","P003","1-back",1,"0","ACTIVE"
"403",0.404206138675363,"0","P003","1-back",1,"0","ACTIVE"
"404",0.361089469475701,"1","P003","1-back",1,"1","ACTIVE"
"405",0.43631589800134,"0","P003","1-back",1,"0","ACTIVE"
"406",0.633694455769728,"0","P003","1-back",1,"0","ACTIVE"
"407",0.411095176645176,"1","P003","1-back",1,"1","ACTIVE"
"408",0.406141600673436,"0","P003","2-back",1,"0","ACTIVE"
