subj_idx,condition,a,st,sv,t,v
P043,1-back,0.4719106838202625,0.2098168549647787,1.7209291941289324,0.1548483828155602,1.434564058811772
P043,2-back,0.5831230187278889,0.1819829433378897,1.9858772207028432,0.143399428094312,0.5984032255703536
P043,3-back,0.5696088035295206,0.1923477634140044,1.931193592672912,0.1454023304744747,0.3164334123764241
P044,0-back,0.4608948749636019,0.2021146972895893,1.8399980848772144,0.1577693203187933,0.225278020113224
P044,1-back,0.5235893511399647,0.2221485045188627,1.6692728196576647,0.1502768132286207,0.532213352597522
P044,2-back,0.6384793155116056,0.1687483760749843,2.0033655717290357,0.1224159165315649,1.0477410054634837
P044,3-back,0.5174009472089518,0.1990853729566301,1.652484156813825,0.1514860597220953,0.5393920672524041
P045,0-back,0.542786829859334,0.1995268410115288,1.8784029529502737,0.1455603474330268,0.533809631630066
P045,1-back,0.4465253389234214,0.2184374025713971,1.899287818558917,0.1687800981165174,0.0602248009294567
P045,2-back,0.4418702947435534,0.1947226569545183,2.0359280011174565,0.1659351796349335,2.538018326882931
P045,3-back,0.4787564770390141,0.2029537954476555,2.073808692340673,0.1755865622579656,0.028376919367379
P046,0-back,0.4686831947050661,0.1821606365847049,1.9999237451831384,0.143904117543776,1.121402968151604
P046,1-back,0.5578714792806202,0.2023739892125173,1.972834472876356,0.1415867109064655,0.5856400747738745
P046,2-back,0.4982456632478054,0.2004121186708172,1.7731686521869352,0.1529144486529534,0.7508238058702484
P046,3-back,0.3950957041350161,0.2295477473830226,1.6015116393096422,0.1611157205837486,1.1689586278917323
P047,0-back,0.5024886646792157,0.2183735056496165,2.2421712650199352,0.154398552387197,1.4071074490038713
P047,1-back,0.5138864976057398,0.1994628156014238,1.657176962626959,0.1570267860789542,1.4750131616957889
P047,2-back,0.6086977577248851,0.1459150808590423,2.0821405131662387,0.1177063752493041,0.6259218589292986
P047,3-back,0.5278519820665681,0.1748372633239391,2.07833263803075,0.1466055544826524,1.24979861404701
P048,0-back,0.4966499385736541,0.1926371856331695,2.1831529001669736,0.1417593798105406,0.7337399558627447
P048,1-back,0.5254241116604594,0.2128480504885824,1.9594712481942536,0.1504084873107297,0.4672470620037869
P048,2-back,0.5629680902873868,0.2118934230907435,1.886072693504625,0.1400916866411662,0.5338806498284544
P048,3-back,0.4633783062747727,0.1948404476269736,2.1551158972564783,0.1481332429540042,0.6850632339563765
P049,0-back,0.5105197611868316,0.1930041897794262,1.8803495143177835,0.1474192810880456,-0.7368919492529048
P049,1-back,0.5997260015486909,0.1701024449984214,2.2348614084717564,0.1378486575466414,1.4319828878252197
P049,2-back,0.4264669503639478,0.244921432997143,1.9614024416014617,0.1761010176671834,0.3440262969890996
P049,3-back,0.4447739475000355,0.2019479562392383,1.9082569233698832,0.1567821797312448,0.3668874086589005
P050,0-back,0.4124918103474752,0.2265843873237941,1.990620156608756,0.1658814909209765,0.907068288775912
P050,1-back,0.5189771323486865,0.2120563350275495,1.907378404351589,0.1582733012024803,0.9527913847073431
P050,2-back,0.4850833158458428,0.2193428957530266,1.8614831244355023,0.1533721801619659,-0.0253327503704368
P050,3-back,0.5572575328954609,0.180837227899029,2.1626939457943357,0.1400381650399269,0.78079479147745
P051,0-back,0.5125539647276103,0.2036823522766472,1.7337240264842126,0.1452108468614115,0.8926021713759466
P051,1-back,0.4484520587637413,0.213627233438748,1.7634844527782847,0.1631832245968348,0.7480305168963116
P051,2-back,0.6841477650939396,0.1646313190570975,1.7741909663365063,0.1146787046957567,0.25984619248485
P051,3-back,0.5010713610749494,0.1807703831635679,2.081922088716995,0.1438788230204831,0.4260453706558216
P052,0-back,0.5203684450685381,0.2081759141236931,1.794795513943355,0.162303886094157,0.1210111430631473
P052,1-back,0.5461510076687871,0.2122181177902444,2.3270772909814124,0.1486379263062599,1.6382790260694906
