Participant.ID,condition,a,st,sv,t,v,qtarget_corr_acc,qtarget_incorr_acc,qtarget_corr_acc_perc,no_qtarget_incorr_acc,no_qtarget_corr_acc,Overall_acc,Overall_acc_perc,qtarget_adjusted_score,qtarget_adjusted_score_2,log_adjusted_score,log_adjusted_score_2,dprime,beta,aprime,bppd,c,mean_RT_all,mean_RT_qtar,mean_RT_non_qtar
P026,1-back,1.879444449,0.267623343,1.192681721,0.491040953,2.792250187,9,1,90,1,29,38,95,8,36,3.218875825,3.891820298,2.757501173,2.175958484,NA,NA,0.281947024,852.6091417,852.6091417,852.6091417
P026,2-back,2.733473507,0.422983347,0.543858204,0.564722548,3.562914022,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,968.9121815,968.9121815,968.9121815
P026,3-back,1.530881659,0.294227497,2.358022071,0.71876607,3.259957708,6,4,60,1,29,35,87.5,5,30,3.091042453,3.761200116,2.002483917,1.256681105,NA,NA,0.114095399,990.54513,990.54513,990.54513
P027,0-back,1.482455436,0.142133716,1.19126167,0.235441219,6.139557337,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,361.862902,361.862902,361.862902
P027,1-back,1.726338198,0.098596982,0.990650083,0.203843833,2.720778171,9,1,90,0,30,39,97.5,9,38,3.258096538,3.931825633,3.32079335,1.052970534,NA,NA,0.015543048,552.0257907,552.0257907,552.0257907
P027,2-back,1.766417119,0.137340639,1.529887454,0.193015472,1.922069098,6,4,60,2,28,34,85,4,28,3.044522438,3.713572067,1.68625936,1.533817856,NA,NA,0.253673882,649.9633389,649.9633389,649.9633389
P027,3-back,1.886935283,0.215752764,1.583014626,0.199823111,2.89261751,9,1,90,2,28,37,92.5,7,34,3.17805383,3.850147602,2.457071428,2.781312249,NA,NA,0.416317913,579.307573,579.307573,579.307573
P028,0-back,1.789959202,0.13875275,0.842322983,0.276724861,4.97789275,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,459.6448112,459.6448112,459.6448112
P028,1-back,1.612220341,0.42012226,1.705210799,0.466767644,3.468639872,10,0,100,2,28,38,95,8,36,3.218875825,3.891820298,2.983804545,6.406763151,NA,NA,0.622478499,745.164621,745.164621,745.164621
P028,2-back,1.925916677,0.828137544,0.734091269,0.623188952,3.183918106,9,1,90,0,30,39,97.5,9,38,3.258096538,3.931825633,3.32079335,1.052970534,NA,NA,0.015543048,980.120265,980.120265,980.120265
P028,3-back,1.492032256,0.634602548,1.476413674,0.635465788,1.926227804,5,5,50,2,28,33,82.5,3,26,2.995732274,3.663561646,1.476007403,1.44464169,NA,NA,0.24922729,986.8905809,986.8905809,986.8905809
P029,0-back,1.649194688,0.160405611,0.804150651,0.32468665,5.750169023,10,0,100,1,29,39,97.5,9,38,3.258096538,3.931825633,3.278394615,4.966107882,NA,NA,0.488847927,470.220833,470.220833,470.220833
P029,1-back,1.318080724,0.270628338,1.799566265,0.429370152,3.770840737,8,2,80,1,29,37,92.5,7,34,3.17805383,3.850147602,2.454230527,1.596761119,NA,NA,0.190681874,628.6061329,628.6061329,628.6061329
P029,2-back,1.450776028,0.332064221,2.06749637,0.482636922,2.136233068,5,5,50,3,27,32,80,2,24,2.944438979,3.610917913,1.249637713,1.534384413,NA,NA,0.34260271,792.4998616,792.4998616,792.4998616
P029,3-back,1.21083778,0.215061413,1.477712396,0.433856508,1.621587341,5,5,50,4,26,31,77.5,1,22,2.890371758,3.555348061,1.072443103,1.553176921,NA,NA,0.410560205,696.1665424,696.1665424,696.1665424
P030,0-back,0.712783017,0.271767954,0.981645763,0.316494704,3.194386532,6,4,60,1,29,35,87.5,5,30,3.091042453,3.761200116,2.002483917,1.256681105,NA,NA,0.114095399,409.0330869,409.0330869,409.0330869
P030,1-back,0.691569447,0.277493594,1.766927114,0.320403355,2.183592405,5,5,50,5,25,30,75,0,20,2.833213344,3.496507561,0.92524456,1.534245528,NA,NA,0.46262228,423.5869274,423.5869274,423.5869274
P030,2-back,1.005200384,0.25699267,1.958925093,0.297215498,1.931433299,4,6,40,5,25,29,72.5,-1,18,2.772588722,3.433987204,0.704849531,1.40070933,NA,NA,0.478086113,474.4269099,474.4269099,474.4269099
P030,3-back,0.941608551,0.347550472,1.838051652,0.268773176,0.684094952,2,8,20,8,22,24,60,-6,8,2.397895273,3.044522438,-0.147679819,0.905254683,NA,NA,0.674018685,443.1505525,443.1505525,443.1505525
P031,0-back,1.320990511,0.039451006,1.203410735,0.244739943,5.707505954,9,1,90,0,30,39,97.5,9,38,3.258096538,3.931825633,3.32079335,1.052970534,NA,NA,0.015543048,363.8005622,363.8005622,363.8005622
P031,1-back,1.718444637,0.11002739,1.050778809,0.254489172,6.021092099,10,0,100,8,22,32,80,2,24,2.944438979,3.610917913,2.151399053,7.611050446,NA,NA,0.943386674,397.653075,397.653075,397.653075
P031,2-back,0.900652874,0.391686426,1.736415403,0.371294931,2.738311151,7,3,70,5,25,32,80,2,24,2.944438979,3.610917913,1.365574314,1.949234547,NA,NA,0.488759014,505.6310283,505.6310283,505.6310283
P031,3-back,1.189633749,0.3169239,1.998040695,0.328479425,3.00863911,7,3,70,3,27,34,85,4,28,3.044522438,3.713572067,1.684021252,1.862234035,NA,NA,0.369221505,522.3428586,522.3428586,522.3428586
P032,0-back,1.76283318,0.295512805,0.887196366,0.362895126,4.949800274,10,0,100,1,29,39,97.5,9,38,3.258096538,3.931825633,3.278394615,4.966107882,NA,NA,0.488847927,549.3447057,549.3447057,549.3447057
P032,1-back,2.385136462,0.220084159,1.259553488,0.308897798,2.847398722,9,1,90,0,30,39,97.5,9,38,3.258096538,3.931825633,3.32079335,1.052970534,NA,NA,0.015543048,823.6400403,823.6400403,823.6400403
P032,2-back,1.248975445,0.568879854,2.111139148,0.887919297,2.844911325,6,4,60,2,28,34,85,4,28,3.044522438,3.713572067,1.68625936,1.533817856,NA,NA,0.253673882,1119.244476,1119.244476,1119.244476
P032,3-back,1.739580092,0.686633269,1.856791267,0.669405447,2.026813959,7,3,70,5,25,32,80,2,24,2.944438979,3.610917913,1.365574314,1.949234547,NA,NA,0.488759014,1106.272269,1106.272269,1106.272269
