subj_idx,param,rhat
P043,a(2-back),1.0185557722791654
P043,a(3-back),1.0004198847472447
P043,v(0-back),1.0027032869600263
P043,v(1-back),1.0040107193303305
P043,v(2-back),1.0048947146739649
P043,v(3-back),1.001515830920835
P043,t(0-back),1.0035797335715029
P043,t(1-back),1.0163756490828977
P043,t(2-back),1.0231657142177326
P043,t(3-back),1.0007245572204297
P043,st(0-back),1.0015232758689872
P043,st(1-back),1.0072077639846135
P043,st(2-back),1.0193380221165198
P043,st(3-back),1.0007780408127576
P044,a(0-back),1.0016544383145045
P044,a(1-back),1.0058412119953608
P044,a(2-back),1.0051473603745849
P044,a(3-back),1.0025924969165445
P044,v(0-back),1.001109988586267
P044,v(1-back),1.0023624955083572
P044,v(2-back),0.9999567028398292
P044,v(3-back),1.001914293049889
P044,t(0-back),1.0019600393352963
P044,t(1-back),1.006290830916889
P044,t(2-back),1.0031596679422141
P044,t(3-back),1.0032953436274241
P044,st(0-back),1.000383149668928
P044,st(1-back),1.0018207142957036
P044,st(2-back),1.001399518565008
P044,st(3-back),1.003502432567348
P045,a(0-back),1.0102658859261533
P045,a(1-back),1.012402432729233
P045,a(2-back),1.0064922969445174
P045,a(3-back),1.0068908832623078
P045,v(0-back),1.002361400134133
P045,v(1-back),1.0039324642652752
P045,v(2-back),1.0034777951103817
P045,v(3-back),1.0032583061248141
P045,t(0-back),1.0111664526330177
P045,t(1-back),1.01043081036409
P045,t(2-back),1.008930101271332
P045,t(3-back),1.0092589794457223
P045,st(0-back),1.0043850763220303
P045,st(1-back),1.0032053434996138
P045,st(2-back),1.005131571992685
P045,st(3-back),1.0088061945671822
P046,a(0-back),1.0033709125479322
P046,a(1-back),1.0164807549200245
P046,a(2-back),1.0023576843575661
P046,a(3-back),1.0029895437666707
P046,v(0-back),1.0020830222421104
P046,v(1-back),1.006365046711902
P046,v(2-back),1.0028055628226642
P046,v(3-back),1.0008581534433973
P046,t(0-back),1.0064191753624467
P046,t(1-back),1.0220285720030733
P046,t(2-back),1.0037619341495658
P046,t(3-back),1.00393886330984
P046,st(0-back),1.0054643569590045
P046,st(1-back),1.0152282207276297
P046,st(2-back),1.0029939509130745
P046,st(3-back),1.0028379094945874
P047,a(0-back),1.0305202825955528
P047,a(1-back),1.0130029093978756
P047,a(2-back),1.0102555612433068
P047,a(3-back),1.003774693647426
P047,v(0-back),1.002851590148349
P047,v(1-back),1.0039954534272506
P047,v(2-back),1.001661271857086
P047,v(3-back),1.0019780530778537
P047,t(0-back),1.0381720321010104
P047,t(1-back),1.0128697968275011
P047,t(2-back),1.013388707855774
P047,t(3-back),1.0046418114055082
P047,st(0-back),1.0163109211338746
P047,st(1-back),1.0029712578074266
P047,st(2-back),1.009814804848892
P047,st(3-back),1.0026366845161818
P048,a(0-back),1.0024045132725288
P048,a(1-back),1.0027629291233582
P048,a(2-back),1.0105081817067174
P048,a(3-back),1.0019882195357641
P048,v(0-back),1.0026994377096412
P048,v(1-back),1.0005618938194092
P048,v(2-back),1.0018568113790796
P048,v(3-back),1.000565002666155
P048,t(0-back),1.0028747537903326
P048,t(1-back),1.0048274637815142
P048,t(2-back),1.0117426250249761
P048,t(3-back),1.0019243086364797
P048,st(0-back),1.001065909768827
P048,st(1-back),1.0006682094904364
