Participant.ID,a(0),a(1),st,sz,t(0),t(1),v(0),v(1),z_trans(0),z_trans(1)
P049,1.666143472,2.640787418,0.179183729,0.197903267,0.637226077,0.463000904,-0.490155382,1.506733691,0.007117365,0.118576616
P050,1.75182631,2.331934641,0.15009423,0.180631152,0.555753746,0.529856995,0.128857516,0.9939381,-0.107258816,0.51265316
P051,1.722297981,1.83719884,0.161879809,0.192415992,0.649580417,0.541217916,-0.083356626,1.067075744,0.004431654,0.159641394
P052,1.302106841,1.927268775,0.175627282,0.230128895,0.637318175,0.542374478,-0.534594406,1.66936072,0.420966389,-0.077752712
P054,1.412283054,2.221887458,0.104147409,0.209585488,0.514712514,0.432280487,0.081673999,2.581261383,-0.43016778,0.15902585
P055,1.946133273,2.547111248,0.260508707,0.156751599,0.821667035,0.578439592,-0.316037672,2.095326774,-0.462859846,0.231952166
P056,1.96965187,2.030576226,0.263123209,0.179843381,0.846615527,0.932238469,0.179759163,0.863495403,-0.192066507,0.030150071
P057,1.958221017,2.357005849,0.205767225,0.180691624,0.628827775,0.435876331,0.235086536,0.772276247,-0.285431192,0.43483053
P058,1.201439007,1.136403904,0.364978354,0.224722455,0.537868448,0.635893421,0.428988595,1.505216355,-0.036879094,0.162731216
P059,1.816771139,2.476769753,0.151653995,0.205813667,0.459044249,0.392647601,0.255956882,0.803796294,0.10179832,0.134574198
